,SUID,shared name,name,selected,EdgeCount,Indegree,Outdegree,activity,canonicalName,geneName,locus_tag.d6,sporulation,operon,Goe3_log2_fold_change,pDR110_log2_fold_change,sigF_log2_fold_change,sigG_log2_fold_change,SP10_log2_fold_change,ELDg168_log2_fold_change,ELDg169_log2_fold_change,infomap,betweenness,pagerank,novelProportion,priorProportion,0_GLay_cluster,node.shape,node.label
0,37028,BSU16110,BSU16110,False,1,1,0,target,BSU16110,dprA,A8O17_RS08375,0,sucC→topA,0.0,0.0,-3.20893076385007,0.0,0.0,-1.10711467031503,-5.01944190960187,3,0.0,0.0003267055249971527,,,,,
1,37027,BSU24400,BSU24400,False,2,2,0,target,BSU24400,spoIIIAD,A8O17_RS11765,1,spoIIIAA→spoIIIAH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0003228483475197523,,,,,
2,37025,BSU23960,BSU23960,False,1,1,0,target,BSU23960,artR,A8O17_RS11530,0,artP→artR,0.0,0.0,0.0,0.0,0.0,-6.91558552101586,-5.04831465945932,2,0.0,0.00033018904677514934,,,,,
3,37024,BSU04520,BSU04520,False,2,2,0,target,BSU04520,ydbM,A8O17_RS02495,0,ydbM,0.0,0.0,2.63689536202314,0.0,0.0,-0.7067849650213729,-0.7732997313004029,7,0.0,0.0003316516420676537,,,,,
4,37023,BSU40900,BSU40900,False,2,2,0,target,BSU40900,ssbA,A8O17_RS20220,0,rpsF→rpsR,0.0,0.0,0.0,0.0,0.0,0.0,-1.45319741047959,3,0.0,0.00032885007505795697,,,,,
5,37022,BSU33130,BSU33130,False,1,1,0,target,BSU33130,liaI,A8O17_RS16130,0,liaI→liaR,0.0,0.0,0.0,0.0,0.0,-2.52231030212332,3.12716868468055,8,0.0,0.00033849979620439964,,,,,
6,37021,BSU06740,BSU06740,False,1,1,0,target,BSU06740,yefB,A8O17_RS03585,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0003271515521326437,,,,,
7,37020,BSU30240,BSU30240,False,1,1,0,target,BSU30240,bioW,A8O17_RS14495,0,bioW→ytbQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.00032942120094699487,,,,,
8,37019,BSU04530,BSU04530,False,1,1,0,target,BSU04530,fbpB,A8O17_RS02500,0,fbpA→fbpB,0.0,0.0,0.0,0.0,0.0,2.73005215372166,0.0,3,0.0,0.0003274528024776383,,,,,
9,37018,BSU24410,BSU24410,False,2,2,0,target,BSU24410,spoIIIAC,A8O17_RS11770,1,spoIIIAA→spoIIIAH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0003228483475197523,,,,,
