,acc_name,clean_name
0,"Roseburia_hominis_A2-183,",roseburia_hominis_a2-183
1,Veillonella_dispar_ATCC,veillonella_dispar_atcc
2,Fusobacterium_naviforme,fusobacterium_naviforme
3,Paenibacillus_taichungensis,paenibacillus_taichungensis
4,Blautia_obeum_ATCC,blautia_obeum_atcc
5,Paenibacillus_tuaregi,paenibacillus_tuaregi
6,Clostridium_grantii_DSM,clostridium_grantii_dsm
7,Clostridium_tepidiprofundi_DSM,clostridium_tepidiprofundi_dsm
8,Hydrogenoanaerobacterium_saccharovorans,hydrogenoanaerobacterium_saccharovorans
9,Paenibacillus_rubinfantis,paenibacillus_rubinfantis
10,Butyrivibrio_sp_AE2015,butyrivibrio_sp_ae2015
11,Tyzzerella_sp_An114,tyzzerella_sp_an114
12,Desulfosporosinus_sp_OT,desulfosporosinus_sp_ot
13,Clostridium_luticellarii,clostridium_luticellarii
14,Paenibacillus_sp_Soil787,paenibacillus_sp_soil787
15,Acetoanaerobium_noterae,acetoanaerobium_noterae
16,Paenibacillus_macerans,paenibacillus_macerans
17,Lachnobacterium_bovis,lachnobacterium_bovis
18,Clostridium_ljungdahlii_DSM,clostridium_ljungdahlii_dsm
19,Carboxydothermus_islandicus,carboxydothermus_islandicus
20,Clostridium_puniceum,clostridium_puniceum
21,Clostridium_felsineum_DSM,clostridium_felsineum_dsm
22,Alicyclobacillus_hesperidum,alicyclobacillus_hesperidum
23,Eubacterium_barkeri,eubacterium_barkeri
24,Proteiniborus_ethanoligenes,proteiniborus_ethanoligenes
25,Planifilum_fulgidum,planifilum_fulgidum
26,Paenibacillus_donghaensis,paenibacillus_donghaensis
27,Lachnobacterium_bovis_DSM,lachnobacterium_bovis_dsm
28,Tissierellia_bacterium_KA00581,tissierellia_bacterium_ka00581
29,Paenibacillus_glucanolyticus,paenibacillus_glucanolyticus
30,Peptoniphilus_sp_ING2-D1G,peptoniphilus_sp_ing2-d1g
31,Saccharibacillus_sacchari_DSM,saccharibacillus_sacchari_dsm
32,Paenibacillus_alvei_DSM,paenibacillus_alvei_dsm
33,Megamonas_hypermegale,megamonas_hypermegale
34,Clostridium_disporicum,clostridium_disporicum
35,Ezakiella_peruensis,ezakiella_peruensis
36,Paenibacillus_dendritiformis_C454,paenibacillus_dendritiformis_c454
37,Sporanaerobacter_sp_PP17-6a,sporanaerobacter_sp_pp17-6a
38,Paenibacillus_peoriae_KCTC,paenibacillus_peoriae_kctc
39,Anaeromicrobium_sediminis,anaeromicrobium_sediminis
40,Andreesenia_angusta,andreesenia_angusta
41,"Paenibacillus_sp_JDR-2,",paenibacillus_sp_jdr-2
42,Clostridium_sporogenes,clostridium_sporogenes
43,Vulcanibacillus_modesticaldus,vulcanibacillus_modesticaldus
44,Anaerococcus_marasmi,anaerococcus_marasmi
45,Clostridium_butyricum_DSM,clostridium_butyricum_dsm
46,Peptostreptococcus_sp_MV1,peptostreptococcus_sp_mv1
47,Romboutsia_timonensis,romboutsia_timonensis
48,Desulfofundulus_australicus_DSM,desulfofundulus_australicus_dsm
49,Lachnospiraceae_bacterium_P6A3,lachnospiraceae_bacterium_p6a3
50,Lachnospiraceae_bacterium_oral,lachnospiraceae_bacterium_oral
51,Sporanaerobacter_acetigenes_DSM,sporanaerobacter_acetigenes_dsm
52,Oribacterium_sp_P6A1,oribacterium_sp_p6a1
53,Selenomonas_sp_ND2010,selenomonas_sp_nd2010
54,Halanaerobium_saccharolyticum,halanaerobium_saccharolyticum
55,Candidatus_Soleaferrea_massiliensis,candidatus_soleaferrea_massiliensis
56,"Pseudobutyrivibrio_sp_NOR37,",pseudobutyrivibrio_sp_nor37
57,Butyrivibrio_hungatei,butyrivibrio_hungatei
58,Desulfosporosinus_sp_HMP52,desulfosporosinus_sp_hmp52
59,Bariatricus_massiliensis,bariatricus_massiliensis
60,Drancourtella_sp_An57,drancourtella_sp_an57
61,Butyrivibrio_sp_LC3010,butyrivibrio_sp_lc3010
62,Ruminococcus_flavefaciens_MA2007,ruminococcus_flavefaciens_ma2007
63,Clostridium_botulinum,clostridium_botulinum
64,Clostridium_sp_USBA,clostridium_sp_usba
65,Thermoanaerobacterium_sp_RBIITD,thermoanaerobacterium_sp_rbiitd
66,Anaerobutyricum_hallii_isolate,anaerobutyricum_hallii_isolate
67,Tepidibacter_mesophilus,tepidibacter_mesophilus
68,Ruminococcus_champanellensis_18P13,ruminococcus_champanellensis_18p13
69,Lachnospiraceae_bacterium,lachnospiraceae_bacterium
70,Anaerococcus_jeddahensis,anaerococcus_jeddahensis
71,Clostridium_cavendishii_DSM,clostridium_cavendishii_dsm
72,"Butyrivibrio_sp_Su6,",butyrivibrio_sp_su6
73,"Butyrivibrio_sp_INlla21,",butyrivibrio_sp_inlla21
74,Desulfonispora_thiosulfatigenes_DSM,desulfonispora_thiosulfatigenes_dsm
75,Clostridium_magnum_DSM,clostridium_magnum_dsm
76,Paenibacillus_sp_32352,paenibacillus_sp_32352
77,Peptoniphilus_senegalensis_JC140,peptoniphilus_senegalensis_jc140
78,Acidaminococcus_fermentans_DSM,acidaminococcus_fermentans_dsm
79,Clostridium_sp_DMHC,clostridium_sp_dmhc
80,Ruminiclostridium_sufflavum_DSM,ruminiclostridium_sufflavum_dsm
81,Desnuesiella_massiliensis,desnuesiella_massiliensis
82,Desulfosporosinus_sp_I2,desulfosporosinus_sp_i2
83,Paenibacillus_sophorae,paenibacillus_sophorae
84,"Butyrivibrio_sp_YAB3001,",butyrivibrio_sp_yab3001
85,Eubacterium_uniforme,eubacterium_uniforme
86,Clostridium_chauvoei,clostridium_chauvoei
87,"Paenibacillus_sp_GM2,",paenibacillus_sp_gm2
88,Melghirimyces_thermohalophilus,melghirimyces_thermohalophilus
89,Acetivibrio_ethanolgignens,acetivibrio_ethanolgignens
90,Urinicoccus_massiliensis,urinicoccus_massiliensis
91,Lachnospiraceae_bacterium_AC2028,lachnospiraceae_bacterium_ac2028
92,Kyrpidia_tusciae_DSM,kyrpidia_tusciae_dsm
93,Abyssisolibacter_fermentans,abyssisolibacter_fermentans
94,Faecalicatena_orotica,faecalicatena_orotica
95,Clostridium_sartagoforme_AAU1,clostridium_sartagoforme_aau1
96,Paenibacillus_nuruki,paenibacillus_nuruki
97,"Clostridia_bacterium_UC5.1-1D10,",clostridia_bacterium_uc5.1-1d10
98,Marininema_halotolerans,marininema_halotolerans
99,Eubacterium_ramulus_ATCC,eubacterium_ramulus_atcc
100,"Anaerococcus_obesiensis_ph10,",anaerococcus_obesiensis_ph10
101,Oribacterium_sp_C9,oribacterium_sp_c9
102,Butyrivibrio_sp_AC2005,butyrivibrio_sp_ac2005
103,Ruminococcus_flavefaciens,ruminococcus_flavefaciens
104,Peptoniphilus_sp_oral,peptoniphilus_sp_oral
105,Paenibacillus_sp_VTT,paenibacillus_sp_vtt
106,Caloranaerobacter_sp_TR13,caloranaerobacter_sp_tr13
107,Calditerricola_satsumensis_JCM,calditerricola_satsumensis_jcm
108,Mediterraneibacter_massiliensis,mediterraneibacter_massiliensis
109,Peptoniphilus_vaginalis,peptoniphilus_vaginalis
110,Clostridium_cylindrosporum_DSM,clostridium_cylindrosporum_dsm
111,Caloramator_fervidus,caloramator_fervidus
112,Paenibacillus_sp_AD87,paenibacillus_sp_ad87
113,Veillonella_sp_DNF00869,veillonella_sp_dnf00869
114,Clostridium_cadaveris_AGR2141,clostridium_cadaveris_agr2141
115,Desulfitobacterium_dichloroeliminans_LMG,desulfitobacterium_dichloroeliminans_lmg
116,Mogibacterium_diversum,mogibacterium_diversum
117,Agathobaculum_desmolans_ATCC,agathobaculum_desmolans_atcc
118,Ruminococcus_gauvreauii_DSM,ruminococcus_gauvreauii_dsm
119,Caldicoprobacter_oshimai_DSM,caldicoprobacter_oshimai_dsm
120,Paenibacillus_sp_A3,paenibacillus_sp_a3
121,Anaerostipes_hadrus_DSM,anaerostipes_hadrus_dsm
122,"Caldicellulosiruptor_kronotskyensis_2002,",caldicellulosiruptor_kronotskyensis_2002
123,Tissierella_praeacuta_DSM,tissierella_praeacuta_dsm
124,Clostridium_formicaceticum,clostridium_formicaceticum
125,Lachnospiraceae_bacterium_NC2004,lachnospiraceae_bacterium_nc2004
126,Paenibacillus_xylanexedens,paenibacillus_xylanexedens
127,methylpentosum_DSM_5476,methylpentosum_dsm_5476
128,Eubacterium_sulci_ATCC,eubacterium_sulci_atcc
129,Pseudoclostridium_thermosuccinogenes,pseudoclostridium_thermosuccinogenes
130,Butyrivibrio_sp_LB2008,butyrivibrio_sp_lb2008
131,Paenibacillus_jilunlii,paenibacillus_jilunlii
132,Butyrivibrio_sp_NC3005,butyrivibrio_sp_nc3005
133,Dorea_sp_D27,dorea_sp_d27
134,Clostridium_sp_KNHs205,clostridium_sp_knhs205
135,"Carboxydothermus_hydrogenoformans_Z-2901,",carboxydothermus_hydrogenoformans_z-2901
136,Thermoclostridium_stercorarium_subsp.,thermoclostridium_stercorarium_subsp.
137,Paenibacillus_ihuae,paenibacillus_ihuae
138,Paenibacillus_sambharensis,paenibacillus_sambharensis
139,Anaerococcus_hydrogenalis_DSM,anaerococcus_hydrogenalis_dsm
140,Clostridium_oryzae,clostridium_oryzae
141,Paenibacillus_amylolyticus,paenibacillus_amylolyticus
142,Gottschalkia_purinilytica,gottschalkia_purinilytica
143,Clostridioides_mangenotii_TR,clostridioides_mangenotii_tr
144,Lachnospiraceae_bacterium_AC2029,lachnospiraceae_bacterium_ac2029
145,"Anaerosalibacter_massiliensis,_whole",anaerosalibacter_massiliensis_whole
146,Thermoanaerobacterium_saccharolyticum,thermoanaerobacterium_saccharolyticum
147,Moorella_stamsii,moorella_stamsii
148,Pseudoflavonifractor_sp_An44,pseudoflavonifractor_sp_an44
149,Desulfallas_geothermicus_DSM,desulfallas_geothermicus_dsm
150,Megasphaera_sp_MJR8396C,megasphaera_sp_mjr8396c
151,Acetobacterium_sp_KB-1,acetobacterium_sp_kb-1
152,Desulfallas_alcoholivorax_DSM,desulfallas_alcoholivorax_dsm
153,Eubacterium_pyruvativorans,eubacterium_pyruvativorans
154,Clostridium_acidisoli_DSM,clostridium_acidisoli_dsm
155,Paenibacillus_fonticola_DSM,paenibacillus_fonticola_dsm
156,Anaerotignum_propionicum_DSM,anaerotignum_propionicum_dsm
157,Paenibacillus_oryzae,paenibacillus_oryzae
158,Paenibacillus_assamensis_DSM,paenibacillus_assamensis_dsm
159,Paenibacillus_senegalimassiliensis,paenibacillus_senegalimassiliensis
160,Thermaerobacter_subterraneus_DSM,thermaerobacter_subterraneus_dsm
161,Brevibacillus_laterosporus_LMG,brevibacillus_laterosporus_lmg
162,Blautia_wexlerae_DSM,blautia_wexlerae_dsm
163,Desulfotomaculum_arcticum_DSM,desulfotomaculum_arcticum_dsm
164,Butyrivibrio_proteoclasticus,butyrivibrio_proteoclasticus
165,"citroniae_WAL-17108_supercont1.1,",citroniae_wal-17108_supercont1.1
166,Anaerotruncus_massiliensis,anaerotruncus_massiliensis
167,Hydrogenibacillus_schlegelii,hydrogenibacillus_schlegelii
168,Veillonella_rodentium,veillonella_rodentium
169,Ruthenibacterium_lactatiformans,ruthenibacterium_lactatiformans
170,"Paenibacillus_sp_NAIST15-1,",paenibacillus_sp_naist15-1
171,Dialister_invisus_DSM,dialister_invisus_dsm
172,"Caloramator_australicus_RC3,",caloramator_australicus_rc3
173,Mogibacterium_timidum_ATCC,mogibacterium_timidum_atcc
174,Mediterraneibacter_glycyrrhizinilyticus_JCM,mediterraneibacter_glycyrrhizinilyticus_jcm
175,Tissierella_sp_P1,tissierella_sp_p1
176,Lachnoclostridium_sp_An118,lachnoclostridium_sp_an118
177,Hathewaya_proteolytica_DSM,hathewaya_proteolytica_dsm
178,Paenibacillus_tyrfis,paenibacillus_tyrfis
179,Paenibacillus_sp_MAEPY2,paenibacillus_sp_maepy2
180,Selenomonas_bovis_DSM,selenomonas_bovis_dsm
181,"Clostridium_arbusti_SL206,",clostridium_arbusti_sl206
182,Anaeroglobus_geminatus_F0357,anaeroglobus_geminatus_f0357
183,Flavonifractor_sp_An112,flavonifractor_sp_an112
184,Thermotalea_metallivorans,thermotalea_metallivorans
185,Clostridium_bornimense,clostridium_bornimense
